Green Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C12N,A61K,C07F,A61P,C07B,C07K,C12P,C10G,A01H,B01J,A01N,C08B,C10M,C09K,G01N,C08J,C08F,C08L,C12Q,C01B,B01D,B01L,B32B,C07H,C08K,C09D,C10L,H01L,A01P,A61Q,C01G,C07J,C10N,A23K,B01F,B03D,B05D,B29C,C02F,C05D,C06B,C08G,C08H,C11B,C11C,C11D,C22C,C40B,
Número,52,38,26,21,16,15,12,12,12,10,9,9,8,8,8,7,7,6,5,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,C07C,C12N,A61K,B01J,C12P,C07K,C08B,G01N,C07F,C09K,C02F,C12Q,A61P,B01D,C07B,C10G,C07H,C08G,A61Q,C11D,H01L,H01M,A01H,C08F,C08J,C08L,C10M,G21F,G21G,A01N,A61F,B32B,C01B,C01G,C07J,C09B,C09C,C10L,C40B,H01G,H05B,A01M,A01P,A61B,A61M,A62D,B01L,B05D,B41J,
Número,45,34,27,22,16,11,10,10,10,9,9,8,8,7,7,7,7,6,6,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C12N,A61K,B01J,C07F,C08F,C07K,C08G,C12Q,H01M,B05D,C07B,C08J,B01D,G01N,H01G,C08L,C09K,C12P,A01H,A01N,B01L,C01B,C07H,A61F,A61L,A61P,A62D,B32B,C09B,C09D,C10G,C23C,C25B,G06F,H01B,A01K,A01P,A23K,A61B,A61Q,B08B,B22F,C01C,C01G,C02F,C08B,C08K,C11C,
Número,38,29,21,14,10,10,10,8,7,7,7,6,6,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
