Green Chemistry;"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07D;C07C;A61K;B01J;C08F;A61L;A01N;C01B;C12N;C12Q;G01N;H01M;C07B;C07H;C08G;C12P;C25B;C07F;B82Y;C02F;C07K;C22B;B01D;C08B;C08H;C08J;C08K;C08L;D01F;A01P;A61P;B01F;B29C;B32B;C01C;C09K;C14C;C40B;A01H;A23L;A24B;A61B;A61F;A61Q;B09B;B09C;B29B;C09B;C09D;C10G;
Nomero;24;23;21;21;14;10;8;7;7;7;7;7;6;6;6;6;6;5;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;A61K;C07D;B01J;C12P;C08G;B82Y;H01M;A61L;C01B;C08L;C12N;C08F;C07F;C07K;C08J;C07H;C10G;G01N;A01N;A23L;A61P;C01G;C12Q;B01D;C07B;C08H;C08K;C09K;C10L;C25B;B22F;C02F;C08B;C08C;C09J;C11C;C11D;C22B;A43B;A61F;A61M;A61N;A61Q;B01F;B08B;B09C;B30B;B32B;C05D;
Nomero;29;26;24;21;15;12;9;9;8;8;8;8;7;6;6;6;5;5;5;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;A61K;B01J;C12P;B01D;C12N;G01N;A61L;C01B;C02F;H01M;A61P;C07K;C10G;A61F;B82Y;C07B;C07F;C07H;C08J;C08L;C09D;A01N;C08H;C10L;C12Q;D01D;D01F;H01G;H01L;A01P;B09C;B22F;B29C;C08K;C09K;C11C;C12R;C22B;A01C;A01H;A61B;A61Q;B01F;B02C;B03D;B29B;B29D;C01C;
Nomero;23;21;14;14;13;7;7;7;6;6;6;6;5;5;5;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;B01J;A61K;C12P;C07D;C08G;C12N;C02F;C07F;C08F;G01N;B01D;C07B;A01N;A61P;B82Y;C01B;C07H;C08B;C08J;A61L;B05D;B29C;C04B;C08C;C09D;C09K;C10L;C11C;H01M;A01H;A01P;A61B;A61F;A61M;B29B;B32B;B82B;C01C;C01G;C08K;C08L;C09F;C12M;C12Q;C22B;C25C;E02B;G02B;H01B;
Nomero;23;13;10;10;9;6;6;5;5;5;5;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;A61K;B01J;C12P;B01D;C07H;C12N;G01N;H01M;B32B;C02F;D21C;A01N;A61P;B82Y;C01B;C01G;C07B;C07F;C08B;C08G;C13K;C23C;A01H;A61L;B05D;C07K;C08F;C08H;C08J;C12M;C12R;C22B;C25B;H01B;;;;;;;;;;;;;;;
Nomero;15;13;11;9;7;5;4;4;4;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;A61K;B01J;A61P;C08F;A01N;C07B;C12P;B82Y;C07H;C08K;C08L;C12N;A01P;B01D;C08G;C08J;C10L;A61F;A61L;B22F;C01B;C08B;C10B;G01N;A01H;A23L;A61Q;B01F;B29D;B32B;C01C;C01F;C01G;C02F;C04B;C07F;C07K;C08H;C09C;C09D;C10C;C10G;C23F;C25D;H01L;;;;
Nomero;24;20;14;14;7;7;6;5;5;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;B01J;C12N;C12P;B01D;A61K;A61L;C01B;C07F;G01N;A61F;C07B;C08F;C12M;A01N;A61P;B32B;C10L;C12Q;G02B;H01L;A01P;B01L;B29D;C01C;C04B;C07H;C08B;C08H;C08K;C08L;C09D;C10B;C30B;D21B;D21C;H01G;H01J;H05H;;;;;;;;;;;
Nomero;14;12;9;9;7;5;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;C12N;B01J;B01D;C07F;G01N;A61K;C07K;B32B;C02F;C07B;C08F;C08G;C08K;C08L;C09K;C10G;C12Q;H01M;A01N;A61P;A62D;B05D;B82B;C01C;C04B;C08J;C09C;C09D;C10L;C11B;C11C;C12M;C12P;D21B;G01J;;;;;;;;;;;;;;
Nomero;16;11;10;7;4;4;4;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;C10L;C11C;C12N;C12P;B01J;C07F;C10G;C07H;C07K;G01N;C01B;C08B;G02B;A61K;B01F;C07B;C08F;C08G;C08J;C08K;C08L;C10B;C12M;C12Q;D21C;A01H;A01N;A01P;A23L;A61F;B01D;B22F;B29C;B29D;C01G;C04B;C08H;C09K;C13K;C40B;H01L;;;;;;;;
Nomero;18;12;8;7;7;7;6;6;6;4;4;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12N;C07C;A61K;C12Q;G01N;C01B;C07D;C07H;C07K;C12P;B01J;C08B;C09C;C11C;A01H;B01D;C01G;C08F;C08K;C09D;C13K;G05D;H01M;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;10;7;5;5;5;4;4;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;C07F;C12N;A61K;C01B;C12P;G01N;B01D;C07B;C08G;C12Q;A01N;C07H;C07K;C08L;C09C;C10L;C11C;A61P;B01J;B05D;B29B;B29C;B32B;B82B;C08K;C09D;C09K;C10G;C40B;F25D;G06F;H01G;H01M;;;;;;;;;;;;;;;;
Nomero;10;6;6;5;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;B01J;C08F;C08G;C10G;C25B;G02B;G02F;H01M;A01N;A61K;A61P;B23K;C02F;C07F;C07H;C08L;C09K;C11C;C12P;F23D;F25D;G01N;G03G;H01G;H01J;H05B;H05H;;;;;;;;;;;;;;;;;;;;;;
Nomero;8;6;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;H01M;C12N;C12P;C08F;G02F;H01G;A01H;A01M;A61K;B01D;B01J;B05D;C07B;C07F;C07H;C07K;C08G;C08K;C08L;C09B;C09D;C09K;C12Q;C12R;C13K;C23C;C25B;G01N;G02B;G03C;H01B;;;;;;;;;;;;;;;;;;
Nomero;5;4;4;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;B01J;A01M;B01D;C07B;C07F;C12N;A01K;B05D;C01B;C07D;C07H;C07J;C07K;C08F;C08L;C09B;C09D;C09K;C12P;C12Q;C30B;G02F;G03C;H01B;H01L;H01M;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;6;5;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C30B;C01B;H01L;B01J;C07C;C07D;C07F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;4;3;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12P;C12N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hyperspectral imaging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;G01J;G06K;G06T;A61B;G02B;A61K;G01B;G02F;G06N;B64C;B64D;C12Q;H01Q;H04B;H04N;A01C;A23B;A61F;A61L;A61P;B01L;B22F;B82Y;C12M;G01C;G01D;G01F;G01M;G01S;G03B;G03H;G05D;G16H;H01L;H01S;H03M; ;;;;;;;;;;;;;
Nomero;35;23;12;9;8;6;4;4;4;4;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G01J;G02B;G06K;A61B;G06T;H04N;G01Q;G02F;G06N;A01G;A61K;G03B;G05D;A01C;A61M;B07C;B08B;C03C;C09K;C12M;C12N;C12P;C12Q;C23C;C40B;F41H;G01B;G01D;G03F;G06F;G16H;H01B;H01J;H01L;H01Q;H03M;H04B;;;;;;;;;;;;;
Nomero;30;16;13;13;12;12;7;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;G01J;G06T;A61K;H04N;G01B;B05D;B28B;B82Y;C07K;G02B;G02F;G03H;G06F;G06K;A01C;A01M;A23B;A61P;B01J;B05C;B07C;B41J;B64C;B64D;B81C;C01B;C08K;C25C;G01K;G01S;G05D;G06N;H01Q;H04L;;;;;;;;;;;;;;;
Nomero;26;15;13;10;7;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;G01J;G02B;G06T;G06K;H04N;C12Q;A61K;C12N;G02F;G03H;H03M;A23B;B82Y;C07K;C08J;C08L;C12M;G01B;G01C;G01S;G03B;G03F;G05D;G09B;G09G;H01L;H01Q;;;;;;;;;;;;;;;;;;;;;;
Nomero;15;10;10;9;7;6;6;4;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;G01J;G02B;G06K;G06T;H04N;G02F;G06F;G01B;G03B;B01J;B05D;B07C;C12Q;C25C;G01C;G01S;G03H;H01L;H01S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;18;11;8;6;6;5;5;4;4;2;2;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G01J;A61B;G02B;G02F;G06T;A61K;B82Y;H01L;H01S;C12Q;G06F;H04N;A61G;A61N;C07K;C12N;G01Q;G01S;G01T;G01V;G03B;G03F;G03H;G06K;H01Q;H03M;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;19;12;10;9;7;6;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61B;G01N;G01J;G06K;A61K;G01S;G01T;G02B;G03B;G06T;H04N;A61M;B03D;G01B;G06F;H01Q;H03M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;9;8;5;3;2;2;2;2;2;2;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;H04N;G01J;G06F;G06K;A61B;A61K;G01B;G06T;B82Y;C09K;G01V;H04L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;8;4;3;3;3;2;2;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G01J;A61K;H04N;A61P;G06K;A61B;B82Y;G01B;G01V;C08G;C09K;C12M;C12N;C12Q;G01S;G01W;G06T;H01L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;9;6;4;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G01J;G06K;A61B;G02B;A61K;G02F;A61G;A61P;B01L;C08G;C08K;F21V;G03H;G06F;G06T;G21G;H01L;H04R;H05B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;9;6;4;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;G01J;G06T;C12Q;A61G;A61K;A61N;A61P;B64F;C07K;C09B;C40B;G01B;G01D;G01S;G02B;G03F;G06F;H01S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;13;10;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61B;A61K;G01J;G01N;G06K;H03M;G02B;H04N;A61P;G03F;G11B;H04L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;8;4;4;4;4;4;3;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01J;G01N;A61B;A61K;G01B;G01S;G02B;G02F;G06K;H01S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;5;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01J;G01N;G02F;A61K;H01S;C06D;G08B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;4;3;3;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;A61B;G01J;B01J;C12M;C12Q;G06F;G06K;G06T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;3;2;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01B;G01J;G01N;A61B;B01J;C12M;C12Q;G01T;G02B;G02F;G06T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;C40B;G01J;G01N;G02B;G03F;G06K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;G01J;G02B;G06F;G06T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;H01S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
