Green Chemistry,"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,A61K,C07C,C12N,C07D,A61P,C12Q,G01N,C12P,C01B,C07K,B01D,C07F,C07H,C08F,C08G,H01M,A01N,C01G,C02F,B82B,C07B,B05D,B32B,C40B,C08L,C23C,A61L,C09K,H01L,C10G,C12M,C04B,C12R,B22F,C08J,C10L,A01H,C01F,C08K,B82Y,D01F,C25B,A62D,H01B,B01L,C09D,C11C,C25D,C30B, 
Número,317,281,197,190,157,135,135,134,103,94,91,87,80,80,59,59,56,46,45,42,38,33,31,30,26,25,24,22,22,22,21,21,20,20,18,17,17,16,15,15,13,12,11,10,10,9,9,9,9,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,B01J,C07C,C12N,C07D,G01N,A61P,C12P,C12Q,C07K,C07H,C07F,C01B,C08F,C08G,B01D,A01N,H01M,C07B,C10G,C02F,C40B,C09K,B82B,C01G,B32B,C08L,H01L,A61L,C12R,C08J,C23C,C01F,C08K,B82Y,C04B,B22F,C10L,A61F,B05D,C11C,C30B,C08B,A62D,B01F,C09D,C25D,G06F,H01B,C25B, 
Número,271,260,190,183,150,141,135,110,105,98,83,76,69,58,54,48,46,45,37,35,32,29,26,25,25,23,22,21,20,20,19,19,14,14,13,13,12,12,11,11,11,11,10,9,9,9,9,9,9,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,B01J,C12N,G01N,C07C,C07D,C07K,C12P,C12Q,A61P,C01B,C07H,C08F,C07F,B01D,C10G,A01N,H01M,C08G,C40B,B82B,C01G,C02F,C10L,C08L,B32B,C08J,B05D,C07B,H01L,C11C,C12R,C23C,C09K,A01H,C12M,C25B,A61L,C01F,C09D,A61B,C08K,D01F,G03F,B01F,B22F,C08B,C11B,C25D,G06F, 
Número,234,191,181,133,127,115,114,109,102,91,81,77,54,51,48,39,33,33,31,28,26,26,26,23,21,20,20,19,19,19,18,18,17,16,15,15,15,13,13,10,9,9,8,8,7,7,6,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,B01J,C12N,G01N,C07C,C12Q,C07D,C12P,C07K,C07H,B01D,A61P,C01B,C08F,C07F,A01N,C08G,H01M,C07B,C08L,C01G,C02F,C10G,C12M,A61L,C04B,C08J,C09K,C40B,C08K,G06F,H01L,B05D,C23C,B32B,B82B,A61B,B01F,A01H,C01F,C11C,D01F,B22F,C09D,A61F,B01L,C25D,C30B,H01F,A23L, 
Número,192,185,148,120,103,99,93,73,68,56,55,54,52,45,39,27,27,24,20,19,16,16,16,16,15,15,15,13,13,12,12,12,11,11,10,10,9,9,8,8,8,8,7,7,6,6,6,6,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,C12N,B01J,G01N,C12Q,C07K,C07C,C07H,C07D,C12P,C01B,C07F,A61P,B01D,A01N,C08F,C08G,C07B,H01M,A01H,C01G,B32B,C40B,C08J,H01L,C01F,C09K,C10G,D01F,B05D,B22F,C11C,C12M,G06F,A61B,C23C,A61L,C02F,C08L,C09C,B01F,C04B,C08K,C10L,C30B,G01J,A01K,F17C,A61M,B01L, 
Número,229,149,145,144,142,113,100,90,79,70,61,52,50,40,35,34,27,22,20,18,18,16,13,12,12,11,11,11,11,10,10,10,10,10,9,9,8,8,8,7,6,6,6,6,6,6,5,5,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,C12N,C12Q,G01N,B01J,C07C,C07K,C07H,C07D,C12P,C07F,C08F,C01B,A61P,B01D,A01N,A01H,C07B,H01M,B32B,C08G,C08J,H01L,C02F,C40B,G06F,B05D,C01G,C10G,C08L,C30B,D01F,B22F,B82B,C01F,C04B,C12M,A01K,A61L,B29C,C09K,C23C,B01F,B01L,C11C,C11D,C25B,G03F,A61M,C08K, 
Número,234,199,157,142,134,110,109,97,79,70,66,61,58,34,30,28,25,25,23,19,19,19,18,17,15,15,13,13,13,11,11,11,10,10,10,10,10,9,8,8,7,7,6,6,6,6,6,6,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,C12N,B01J,C12Q,C07K,G01N,C07C,C07H,C12P,C07D,C01B,C08F,C07F,A61P,C07B,B01D,C08G,H01M,A01N,C10G,H01L,C23C,C40B,B32B,C12M,A61L,C01G,C04B,G06F,C30B,C08L,A01K,A01H,B05D,C01F,C09K,D01F,H01F,A61F,B01L,C08B,G02B,A62D,B22F,C02F,C08J,C08K,C25D,A23L,B29C, 
Número,215,209,157,142,140,133,102,90,86,79,71,66,61,39,37,33,32,32,31,26,22,19,18,17,16,15,15,15,15,13,12,11,10,9,9,9,9,9,7,7,7,7,6,6,6,6,6,6,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,C12N,B01J,C12Q,G01N,C07K,C07C,C07D,C07H,C12P,C08F,C07F,C01B,A61P,C08G,C07B,B01D,H01M,C04B,C10G,G06F,A01N,C40B,H01L,C08J,A01K,B32B,C01G,A01H,A61L,C02F,B05D,C09K,C30B,B01L,C01F,C08L,C23C,D01F,A61M,B22F,H01B,H01G,A61F,A23L,B29C,B81B,C09D,C10L,C12M, 
Número,241,236,172,172,165,146,109,104,104,95,69,66,62,48,48,43,40,38,23,22,22,21,20,18,17,13,13,13,12,12,11,10,10,10,9,8,8,8,8,7,7,7,7,6,5,5,5,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,A61K,G01N,C07K,B01J,C08F,C12Q,C07D,C07C,C07H,C07F,C12P,C07B,A61P,C01B,B01D,C08L,C08G,H01L,C10G,C40B,A01K,C23C,A61L,C30B,C01G,C08J,A01N,G06F,C04B,D01F,H01M,C02F,C12M,C08B,C09K,A01H,B05D,B29C,B81C,C09D,G03F,H01F,B32B,B81B,B82B,C07J,C12R,C25D,D21B, 
Número,230,214,151,148,141,129,126,119,106,88,80,75,68,57,48,25,24,21,20,17,17,14,14,13,13,11,11,10,10,9,9,9,8,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,A61K,B01J,C07K,C12Q,G01N,C07C,C07D,C08F,C12P,A61P,C07F,C07H,C07B,C01B,B01D,C08G,A01H,A61L,C08L,A01K,C02F,C12R,C01G,C23C,C40B,H01L,A01N,B32B,C04B,C08J,C09K,D01F,A62D,B05D,C10G,H01M,C07J,C08B,G03F,A61F,C08K,C25C,A23C,A61M,B09C,B22F,C09B,C22B,C30B, 
Número,197,157,108,98,95,94,87,86,73,72,66,51,47,40,33,21,13,12,12,12,11,11,10,9,9,9,9,8,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Código ICP, C12N,A61K,C07K,C12Q,B01J,C07D,G01N,C08F,C07C,C07H,C12P,C07F,A61P,C01B,C07B,A01H,C23C,B01D,A01N,C08G,C12R,C01G,H01L,H01M,B05D,A01K,C04B,C08J,C08L,C10G,C40B,A61L,C09K,B01F,B09C,G03F,G06F,A61B,C01F,C02F,C09D,C09J,C10M,C11D,A61Q,B22F,B41C,B41M,C09B,C12M,
Número,173,127,91,85,79,76,72,57,53,52,47,44,41,29,24,14,14,13,12,11,10,9,9,9,8,7,7,7,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,A61K,C07K,B01J,C07H,G01N,C12Q,C07C,C07D,C12P,C07F,A61P,B01D,C07B,A01N,C08F,A01H,C01B,C08G,B05D,C04B,C40B,A01K,A61L,C23C,C12M,C12R,H01L,C08L,D21C,H01M,B22F,B32B,C01G,C08J,C09K,B09B,C01F,C03C,F01N,F28C,G03F,H01B,A23D,A61B,A61Q,C02F,C08B,C08K,C09C, 
Número,177,140,107,75,63,62,61,54,46,38,32,31,28,24,21,19,18,17,16,11,9,9,8,8,8,7,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microplastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, G01N,B29B,B01D,B03D,C08J,B07B,B09C,C02F,C08L,C11D,C22B,E02B,F42B,G05B, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,12,5,3,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, G01N,F42B,B29B,C08J,C08L,A61K,A61Q,B63B,B63H,C08K,C09K,E02B, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,7,4,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A23P,A61K,A61Q,B29B,B29C,F42B,G01N, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, F42B,A61K,A61Q,C08K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,C12N,A61P,C07K,C12Q,B82Y,H01L,C01B,B01J,A61L,A61B,C02F,B01D,C08G,C07H,C08J,G03F,A61N,C07D,A01N,C09K,G02B,B29C,C08L,B01L,C07C,C12M,C23C,A23L,C04B,H01M,C07F,B22F,C08F,C08K,C09D,C12P,G06F,A61M,B33Y,C01G,H01B,B32B,C25B,D01F,G06N,H01G,B81C,C25D, 
Número,237,147,130,87,62,62,48,48,39,34,33,26,26,24,24,23,22,18,17,17,16,16,16,15,14,12,12,12,12,11,11,11,10,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,C12N,B82Y,H01L,C07K,C12Q,A61P,C01B,B01J,A61L,A61B,C08G,C09K,C02F,B01D,C01G,C08J,C09D,C23C,B22F,C07H,C08L,A61N,C07D,H01G,C12M,C25B,G02B,H01M,B01L,C07C,A01N,C08K,C12P,C04B,B29C,B82B,H01B,G06F,A61M,B32B,C30B,D01F,B05D,B81C,C08B,C08F,G03F,G06N, 
Número,247,159,113,78,72,71,69,61,47,40,33,32,31,25,24,21,21,21,21,21,18,18,18,17,17,17,16,16,16,16,15,14,13,13,13,12,11,11,11,10,9,9,9,9,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,C12N,B82Y,H01L,C07K,C12Q,A61P,B01J,A61L,C01B,C09K,C08G,C02F,A61B,C07D,C07H,C09D,C23C,B29C,B01D,C08L,A61N,C01G,C08J,H01M,B22F,H01G,A01N,B01L,H01B,B32B,C07C,G06F,A61M,C08F,C08K,G02B,H05K,B05D,C30B,A61F,C07F,B82B,C25D,C04B,C12M,C12P,D01F,G03F, 
Número,239,143,106,91,70,67,65,44,42,41,41,33,30,29,26,26,26,26,26,21,20,20,19,19,18,18,17,17,16,16,16,15,15,15,14,14,14,13,13,12,12,11,11,10,10,9,9,9,9,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,C12N,C12Q,B82Y,H01L,C07K,A61P,C01B,A61L,B01J,A61B,C08G,C08J,C23C,A61N,C07D,C07H,C12M,A01N,B22F,C09D,H01G,B29C,B01D,B01L,B05D,C08F,C08L,G06F,C08K,C09K,C12P,G03F,C01G,G02B,H01M,C25B,D01F,C02F,G01Q,G11C,H05K,B32B,B81C,C04B,C07C,C07F,C30B,A61F, 
Número,237,138,108,79,78,68,58,36,34,31,29,28,24,24,24,20,20,19,19,17,17,17,17,16,15,15,15,15,14,14,13,13,13,13,12,12,12,11,11,10,10,10,10,9,9,9,9,9,9,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,B82Y,H01L,C12N,C12Q,C01B,C07K,A61B,B01J,A61P,A01N,A61L,C07D,C07H,C08J,B01D,C08G,A61N,C23C,B05D,H01M,C08L,D01D,B29C,C09K,H01G,B01L,C01G,C08K,D01F,G02B,B22F,C08F,H01B,A61F,B32B,B82B,C02F,B81C,C07F,C09D,H01J,A61M,C07C,C12P,C25D,H05K,C30B,G06F, 
Número,211,126,119,85,66,56,41,35,34,32,31,24,24,24,23,23,22,21,20,20,19,19,18,18,17,16,16,14,14,14,14,14,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,10,9,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,B82Y,H01L,C12Q,C12N,C07K,C01B,A61L,A61P,B01J,B22F,C07H,B01D,A61B,C07D,C08K,H01M,C09K,B81C,H01F,A61N,B82B,C12M,C01G,B05D,C07F,C08F,C23C,D01D,G03F,A61F,A61M,B29C,B32B,C08L,G02B,H01B,C02F,H05K,A01N,B01L,G01J,G11C,H01G,H01J,C07C,C08J,C09D,D01F, 
Número,205,133,119,76,62,60,39,38,34,33,32,21,20,19,18,18,18,18,16,15,15,14,14,14,13,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,9,9,9,9,9,9,8,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,B82Y,G01N,H01L,C12Q,A61P,C12N,C01B,A61L,B01J,C07K,C07H,C07D,A61B,B82B,C08F,H01M,B22F,C08K,C09K,H01B,B01D,C01G,A61F,B05D,B32B,C08G,A61N,C08L,C12M,A01N,B29C,C07C,G02B,H01F,C08J,D01F,C25B,G01J,H01G,H01J,A61M,B01L,C07F,C23C,G11C,H05K,B81C,C12P,G01Q, 
Número,182,132,119,81,49,45,40,35,29,24,22,21,19,18,18,18,16,15,15,15,15,14,13,12,12,12,12,11,11,11,10,10,10,10,10,9,9,8,8,8,8,7,7,7,7,7,7,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,B82Y,H01L,C01B,C12Q,A61P,C12N,B01J,B82B,C07K,C08L,C01G,A61L,B05D,C07H,C08G,C09K,A01N,H01M,B29C,B32B,C08F,C12M,A61B,A61N,B01L,C08J,D01F,B01D,B22F,B81C,C08K,H01F,C04B,C07D,G01Q,H01B,H01G,A61M,C07F,C08B,B81B,C09D,D01D,G02F,A61F,C02F,C07C,C12P, 
Número,129,94,92,62,34,33,32,32,26,19,18,18,17,16,15,14,14,14,13,13,12,12,12,12,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,6,6,6,6,5,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61K,G01N,B82Y,H01L,A61P,C12Q,C01B,C12N,B32B,B01J,B05D,A61L,A01N,A61N,C07H,C07K,C07D,A61B,B82B,A61F,B01D,C08F,C08G,C23C,H01M,B29C,H01B,A61M,C08L,G01J,C07C,C07F,C08B,C30B,D01F,H04L,C01G,H01J,C08J,C08K,C12M,B22F,C09K,C25B,C40B,D06M,H01G,H05B,B81C,C09D, 
