Green Chemistry,"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,B01J,C12N,C12P,B01D,A61K,A61L,C01B,C07F,G01N,A61F,C07B,C08F,C12M,A01N,A61P,B32B,C10L,C12Q,G02B,H01L,A01P,B01L,B29D,C01C,C04B,C07H,C08B,C08H,C08K,C08L,C09D,C10B,C30B,D21B,D21C,H01G,H01J,H05H,,,,,,,,,,,
Número,14,12,9,9,7,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C12N,B01J,B01D,C07F,G01N,A61K,C07K,B32B,C02F,C07B,C08F,C08G,C08K,C08L,C09K,C10G,C12Q,H01M,A01N,A61P,A62D,B05D,B82B,C01C,C04B,C08J,C09C,C09D,C10L,C11B,C11C,C12M,C12P,D21B,G01J,,,,,,,,,,,,,,
Número,16,11,10,7,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C10L,C11C,C12N,C12P,B01J,C07F,C10G,C07H,C07K,G01N,C01B,C08B,G02B,A61K,B01F,C07B,C08F,C08G,C08J,C08K,C08L,C10B,C12M,C12Q,D21C,A01H,A01N,A01P,A23L,A61F,B01D,B22F,B29C,B29D,C01G,C04B,C08H,C09K,C13K,C40B,H01L,,,,,,,,
Número,18,12,8,7,7,7,6,6,6,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C12N,C07C,A61K,C12Q,G01N,C01B,C07D,C07H,C07K,C12P,B01J,C08B,C09C,C11C,A01H,B01D,C01G,C08F,C08K,C09D,C13K,G05D,H01M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,10,7,5,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C07F,C12N,A61K,C01B,C12P,G01N,B01D,C07B,C08G,C12Q,A01N,C07H,C07K,C08L,C09C,C10L,C11C,A61P,B01J,B05D,B29B,B29C,B32B,B82B,C08K,C09D,C09K,C10G,C40B,F25D,G06F,H01G,H01M,,,,,,,,,,,,,,,,
Número,10,6,6,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,B01J,C08F,C08G,C10G,C25B,G02B,G02F,H01M,A01N,A61K,A61P,B23K,C02F,C07F,C07H,C08L,C09K,C11C,C12P,F23D,F25D,G01N,G03G,H01G,H01J,H05B,H05H,,,,,,,,,,,,,,,,,,,,,,
Número,8,6,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,H01M,C12N,C12P,C08F,G02F,H01G,A01H,A01M,A61K,B01D,B01J,B05D,C07B,C07F,C07H,C07K,C08G,C08K,C08L,C09B,C09D,C09K,C12Q,C12R,C13K,C23C,C25B,G01N,G02B,G03C,H01B,,,,,,,,,,,,,,,,,,
Número,5,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,B01J,A01M,B01D,C07B,C07F,C12N,A01K,B05D,C01B,C07D,C07H,C07J,C07K,C08F,C08L,C09B,C09D,C09K,C12P,C12Q,C30B,G02F,G03C,H01B,H01L,H01M,,,,,,,,,,,,,,,,,,,,,,,,
Número,6,5,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
